sample_id,genotype,block_number,replica_number,dev_stage,leaf_number,leaf_zone,dag,common_dev_stage,common_leaf_age,tissue_designation,developmental_stage_dap,dev_group,metabolite,intensity
D12C211A,CML312,2,2,11,11,Along,49,V10+,young,CML312_11_11,50,>9,acylcarnitine_12_1,34289
D11B213B,B73,1,2,11,13,Base,57,V10+,young,B73_13_11,58,>9,acylcarnitine_12_1,43471
D11C213B,CML312,1,2,11,13,Base,57,V10+,young,CML312_13_11,58,>9,acylcarnitine_12_1,156999
D11B213C,B73,1,2,11,13,Center,57,V10+,young,B73_13_11,58,>9,acylcarnitine_12_1,78552
D11C213C,CML312,1,2,11,13,Center,57,V10+,young,CML312_13_11,58,>9,acylcarnitine_12_1,187292
D11B213T,B73,1,2,11,13,Tip,57,V10+,young,B73_13_11,58,>9,acylcarnitine_12_1,67021
D11C213T,CML312,1,2,11,13,Tip,57,V10+,young,CML312_13_11,58,>9,acylcarnitine_12_1,91363
D12C213A,CML312,2,2,11,13,Along,49,V10+,young,CML312_13_11,50,>9,acylcarnitine_12_1,69638
D12B14A,B73,2,1,10,4,Along,49,V10+,adult,B73_4_10,50,>9,acylcarnitine_12_1,10987
D12C14A,CML312,2,1,10,4,Along,49,V10+,adult,CML312_4_10,50,>9,acylcarnitine_12_1,8175
D12C15A,CML312,2,1,10,5,Along,49,V10+,adult,CML312_5_10,50,>9,acylcarnitine_12_1,14694
D12C17A,CML312,2,1,10,7,Along,49,V10+,adult,CML312_7_10,50,>9,acylcarnitine_12_1,19361
D12C19A,CML312,2,1,10,9,Along,49,V10+,adult,CML312_9_10,50,>9,acylcarnitine_12_1,41743
D12C111A,CML312,2,1,10,11,Along,49,V10+,young,CML312_11_10,50,>9,acylcarnitine_12_1,45162
D12C113A,CML312,2,1,10,13,Along,49,V10+,young,CML312_13_10,50,>9,acylcarnitine_12_1,116387
D12B24A,B73,2,2,9,4,Along,49,V7-V9,adult,B73_4_9,50,7-9,acylcarnitine_12_1,15370
D12B15A,B73,2,1,9,5,Along,49,V7-V9,adult,B73_5_9,50,7-9,acylcarnitine_12_1,7369
D12B25A,B73,2,2,9,5,Along,49,V7-V9,adult,B73_5_9,50,7-9,acylcarnitine_12_1,15887
D12B27A,B73,2,2,9,7,Along,49,V7-V9,adult,B73_7_9,50,7-9,acylcarnitine_12_1,40051
D12B17A,B73,2,1,9,7,Along,49,V7-V9,adult,B73_7_9,50,7-9,acylcarnitine_12_1,5030
D12B19A,B73,2,1,9,9,Along,49,V7-V9,young,B73_9_9,50,7-9,acylcarnitine_12_1,16895
